# Device: SP3UPS
# Formatted: 2025-07-25 16:44:05
# Original file: csv_data/SP3UPS_20250725.csv
Timestamp,Watts_Total_W,Watts_R_Phase_W,Watts_Y_Phase_W,Watts_B_Phase_W,PF_Ave,PF_R_Ph,PF_Y_Ph,PF_B_Ph,VLN_average_V,V_R_Phase_V,V_Y_Phase_V,V_B_Phase_V,A_average_A,A_R_Phase_A,A_Y_Phase_A,A_B_Phase_A,Frequency_Hz,Wh_received_Wh,Load_Hours_Delivered_h,No_of_interruption_count,On_Hours_h:m:s,V_R_Harmonics_%,V_Y_Harmonics_%,V_B_Harmonics_%,A_R_Harmonics_%,A_Y_Harmonics_%,A_B_Harmonics_%
2025-07-25 14:14:06,0,0,0,0,1.000,1.000,1.000,1.000,0,0,0,0,0,0,0,0,0,0,0,41,134:51:56,0,0,0,0,0,0
2025-07-25 14:14:11,0,0,0,0,1.000,1.000,1.000,1.000,0,0,0,0,0,0,0,0,0,0,0,41,134:52:02,0,0,0,0,0,0
2025-07-25 14:14:17,0,0,0,0,1.000,1.000,1.000,1.000,0,0,0,0,0,0,0,0,0,0,0,41,134:52:07,0,0,0,0,0,0
2025-07-25 14:14:23,0,0,0,0,1.000,1.000,1.000,1.000,0,0,0,0,0,0,0,0,0,0,0,41,134:52:13,0,0,0,0,0,0
2025-07-25 14:14:28,0,0,0,0,1.000,1.000,1.000,1.000,0,0,0,0,0,0,0,0,0,0,0,41,134:52:19,0,0,0,0,0,0
2025-07-25 14:14:57,0,0,0,0,1.000,1.000,1.000,1.000,0,0,0,0,0,0,0,0,0,0,0,41,134:52:47,0,0,0,0,0,0
2025-07-25 14:15:02,0,0,0,0,1.000,1.000,1.000,1.000,0,0,0,0,0,0,0,0,0,0,0,41,134:52:52,0,0,0,0,0,0
2025-07-25 14:15:08,0,0,0,0,1.000,1.000,1.000,1.000,0,0,0,0,0,0,0,0,0,0,0,41,134:52:58,0,0,0,0,0,0
2025-07-25 14:15:14,0,0,0,0,1.000,1.000,1.000,1.000,0,0,0,0,0,0,0,0,0,0,0,41,134:53:04,0,0,0,0,0,0
2025-07-25 14:15:42,0,0,0,0,1.000,1.000,1.000,1.000,0,0,0,0,0,0,0,0,0,0,0,41,134:53:32,0,0,0,0,0,0
2025-07-25 14:15:47,0,0,0,0,1.000,1.000,1.000,1.000,0,0,0,0,0,0,0,0,0,0,0,41,134:53:37,0,0,0,0,0,0
2025-07-25 14:15:53,0,0,0,0,1.000,1.000,1.000,1.000,0,0,0,0,0,0,0,0,0,0,0,41,134:53:43,0,0,0,0,0,0
2025-07-25 14:15:59,0,0,0,0,1.000,1.000,1.000,1.000,0,0,0,0,0,0,0,0,0,0,0,41,134:53:49,0,0,0,0,0,0
2025-07-25 14:16:27,0,0,0,0,1.000,1.000,1.000,1.000,0,0,0,0,0,0,0,0,0,0,0,41,134:54:17,0,0,0,0,0,0
2025-07-25 14:16:32,0,0,0,0,1.000,1.000,1.000,1.000,0,0,0,0,0,0,0,0,0,0,0,41,134:54:23,0,0,0,0,0,0
2025-07-25 14:16:38,0,0,0,0,1.000,1.000,1.000,1.000,0,0,0,0,0,0,0,0,0,0,0,41,134:54:28,0,0,0,0,0,0
2025-07-25 14:16:44,0,0,0,0,1.000,1.000,1.000,1.000,0,0,0,0,0,0,0,0,0,0,0,41,134:54:34,0,0,0,0,0,0
2025-07-25 14:17:12,0,0,0,0,1.000,1.000,1.000,1.000,0,0,0,0,0,0,0,0,0,0,0,41,134:55:02,0,0,0,0,0,0
2025-07-25 14:17:18,0,0,0,0,1.000,1.000,1.000,1.000,0,0,0,0,0,0,0,0,0,0,0,41,134:55:08,0,0,0,0,0,0
2025-07-25 14:17:23,0,0,0,0,1.000,1.000,1.000,1.000,0,0,0,0,0,0,0,0,0,0,0,41,134:55:13,0,0,0,0,0,0
2025-07-25 14:21:29,0,0,0,0,1.000,1.000,1.000,1.000,80.5,0,241.7,0,0,0,0,0,49.97,0,0,41,134:59:19,0,1.1,0,0,0,0
2025-07-25 14:25:57,0,0,0,0,1.000,1.000,1.000,1.000,80.9,0,242.8,0,0,0,0,0,49.99,0,0,41,135:03:48,0,1.3,0,0,0,0
2025-07-25 14:26:03,0,0,0,0,1.000,1.000,1.000,1.000,80.9,0,242.8,0,0,0,0,0,49.99,0,0,41,135:03:53,0,1.3,0,0,0,0
2025-07-25 14:26:09,0,0,0,0,1.000,1.000,1.000,1.000,80.9,0,242.6,0,0,0,0,0,49.99,0,0,41,135:03:59,0,1.6,0,0,0,0
2025-07-25 14:26:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-25 14:26:21,0,0,0,0,1.000,1.000,1.000,1.000,80.7,0,242.2,0,0,0,0,0,49.98,0,0,41,135:04:11,0,1.4,0,0,0,0
2025-07-25 14:26:27,0,0,0,0,1.000,1.000,1.000,1.000,80.7,0,242.1,0,0,0,0,0,49.98,0,0,41,135:04:17,0,1.4,0,0,0,0
2025-07-25 14:26:33,0,0,0,0,1.000,1.000,1.000,1.000,80.7,0,242.1,0,0,0,0,0,49.99,0,0,41,135:04:23,0,1.4,0,0,0,0
2025-07-25 14:26:38,0,0,0,0,1.000,1.000,1.000,1.000,80.7,0,242.2,0,0,0,0,0,49.98,0,0,41,135:04:29,0,1.1,0,0,0,0
2025-07-25 14:26:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-25 14:26:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-25 14:26:56,0,0,0,0,1.000,1.000,1.000,1.000,80.8,0,242.3,0,0,0,0,0,49.98,0,0,41,135:04:46,0,1.6,0,0,0,0
2025-07-25 14:27:02,0,0,0,0,1.000,1.000,1.000,1.000,80.8,0,242.3,0,0,0,0,0,49.99,0,0,41,135:04:52,0,1.6,0,0,0,0
2025-07-25 14:27:08,0,0,0,0,1.000,1.000,1.000,1.000,80.8,0,242.3,0,0,0,0,0,49.99,0,0,41,135:04:58,0,1.6,0,0,0,0
2025-07-25 14:27:13,0,0,0,0,1.000,1.000,1.000,1.000,80.7,0,242.2,0,0,0,0,0,49.99,0,0,41,135:05:04,0,1.6,0,0,0,0
2025-07-25 14:27:49,0,0,0,0,1.000,1.000,1.000,1.000,80.7,0,242.2,0,0,0,0,0,49.99,0,0,41,135:05:39,0,1.2,0,0,0,0
2025-07-25 14:27:54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-25 14:27:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-25 14:28:06,0,0,0,0,1.000,1.000,1.000,1.000,80.7,0,242.0,0,0,0,0,0,49.98,0,0,41,135:05:56,0,1.2,0,0,0,0
2025-07-25 14:28:11,0,0,0,0,1.000,1.000,1.000,1.000,80.7,0,242.0,0,0,0,0,0,49.98,0,0,41,135:06:02,0,1.6,0,0,0,0
2025-07-25 14:28:17,0,0,0,0,1.000,1.000,1.000,1.000,80.7,0,242.0,0,0,0,0,0,49.98,0,0,41,135:06:07,0,1.2,0,0,0,0
2025-07-25 14:28:23,0,0,0,0,1.000,1.000,1.000,1.000,80.2,0,240.7,0,0,0,0,0,49.97,0,0,41,135:06:13,0,1.7,0,0,0,0
2025-07-25 14:28:28,0,0,0,0,1.000,1.000,1.000,1.000,80.3,0,240.9,0,0,0,0,0,49.97,0,0,41,135:06:19,0,1.6,0,0,0,0
